order_id,customer_id,order_date,product_name,product_category,quantity,price,payment_method,channel,country
57,2699,2023-01-02,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Online,Offline,UK
58,4493,2023-01-02,Screen Protector,Accessory,1,35.0,Cash,Offline,Germany
59,2699,2023-01-02,iPhone 13,Phone,1,799.0,Online,Offline,UK
60,1283,2023-01-02,Apple Pencil,Accessory,1,119.0,Card,Offline,UAE
61,2065,2023-01-02,MacBook Air 13,Laptop,1,1099.0,Online,Offline,USA
62,287,2023-01-02,Apple Pencil,Accessory,1,119.0,Cash,Offline,Germany
63,287,2023-01-02,iPad Pro 12.9,Tablet,1,1099.0,Cash,Offline,Germany
64,3520,2023-01-02,Xiaomi Mi 11,Phone,2,499.0,Card,Offline,UAE
65,287,2023-01-02,Apple AirPods Pro,Accessory,1,249.0,Cash,Offline,Germany
66,3788,2023-01-02,Apple Pencil,Accessory,2,119.0,Cash,Online,USA
67,2699,2023-01-02,Screen Protector,Accessory,1,35.0,Online,Offline,UK
68,2699,2023-01-02,Apple AirPods Pro,Accessory,1,249.0,Online,Offline,UK
69,3520,2023-01-02,USB-C Charger,Accessory,1,29.0,Card,Offline,UAE
70,655,2023-01-02,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Online,Offline,Japan
71,172,2023-01-03,Screen Protector,Accessory,1,35.0,Card,Online,Russia
72,172,2023-01-03,Samsung Galaxy S23,Phone,1,949.0,Card,Online,Russia
73,3590,2023-01-03,Samsung Travel Adapter,Accessory,1,29.0,Online,Online,China
74,4579,2023-01-03,iPad 9th Gen,Tablet,1,499.0,Online,Online,Russia
75,4579,2023-01-03,Apple Pencil,Accessory,1,119.0,Online,Online,Russia
76,4579,2023-01-03,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Online,Online,Russia
77,2108,2023-01-03,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Online,Offline,USA
78,3004,2023-01-03,Screen Protector,Accessory,1,35.0,Online,Online,UAE
79,4579,2023-01-03,Screen Protector,Accessory,1,35.0,Online,Online,Russia
80,38,2023-01-03,Screen Protector,Accessory,1,35.0,Card,Offline,Russia
81,38,2023-01-03,iPad 9th Gen,Tablet,1,499.0,Card,Offline,Russia
82,3004,2023-01-03,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Online,Online,UAE
83,3004,2023-01-03,iPhone 13,Phone,1,799.0,Online,Online,UAE
84,3956,2023-01-03,iPad 9th Gen,Tablet,1,499.0,Online,Online,Germany
85,3624,2023-01-03,HP Spectre x360,Laptop,2,1299.0,Online,Offline,Russia
86,3956,2023-01-03,Screen Protector,Accessory,1,35.0,Online,Online,Germany
87,1342,2023-01-03,Apple AirPods Pro,Accessory,1,249.0,Card,Offline,Russia
88,2989,2023-01-03,Mechanical Keyboard,Accessory,1,149.0,Online,Online,Russia
89,4028,2023-01-03,Mechanical Keyboard,Accessory,1,149.0,Card,Offline,China
90,1342,2023-01-03,iPhone 15,Phone,2,1199.0,Card,Offline,Russia
91,565,2023-01-03,MacBook Pro 16,Laptop,1,1999.0,Online,Online,China
92,2250,2023-01-03,Dell XPS 13,Laptop,1,1199.0,Card,Offline,Germany
93,4743,2023-01-03,Xiaomi Mi 11,Phone,1,499.0,Cash,Offline,China
94,4686,2023-01-03,HP Spectre x360,Laptop,1,1299.0,Card,Offline,Spain
95,2108,2023-01-03,HP Spectre x360,Laptop,1,1299.0,Cash,Online,USA
96,850,2023-01-04,iPad 9th Gen,Tablet,1,499.0,Cash,Offline,South Korea
97,2336,2023-01-04,Samsung Travel Adapter,Accessory,1,29.0,Card,Offline,USA
98,2336,2023-01-04,Samsung Galaxy S23,Phone,1,949.0,Card,Offline,USA
99,850,2023-01-04,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Cash,Offline,South Korea
100,850,2023-01-04,Screen Protector,Accessory,1,35.0,Cash,Offline,South Korea
101,3548,2023-01-04,Samsung Galaxy S21,Phone,2,749.0,Cash,Online,Russia
102,3548,2023-01-04,Samsung Travel Adapter,Accessory,1,29.0,Cash,Online,Russia
103,3548,2023-01-04,Screen Protector,Accessory,1,35.0,Cash,Online,Russia
104,960,2023-01-04,MacBook Air 13,Laptop,1,1099.0,Card,Online,France
105,561,2023-01-04,Sony WH-1000XM4,Accessory,1,349.0,Cash,Offline,China
106,2908,2023-01-04,Xiaomi Redmi Note 12,Phone,1,349.0,Card,Online,Russia
107,2635,2023-01-04,iPad Pro 12.9,Tablet,1,1099.0,Cash,Online,USA
108,1278,2023-01-04,Xiaomi Redmi Note 12,Phone,1,349.0,Online,Online,UK
109,3306,2023-01-04,MacBook Air 13,Laptop,1,1099.0,Online,Online,UK
110,1684,2023-01-04,USB-C Charger,Accessory,1,29.0,Card,Online,Russia
111,217,2023-01-04,Apple AirPods Pro,Accessory,1,249.0,Card,Online,Russia
112,2509,2023-01-04,Samsung Travel Adapter,Accessory,1,29.0,Online,Online,Japan
113,363,2023-01-04,Dell XPS 13,Laptop,1,1199.0,Card,Offline,Russia
114,700,2023-01-04,Dell XPS 13,Laptop,1,1199.0,Online,Online,South Korea
115,2948,2023-01-04,Screen Protector,Accessory,1,35.0,Online,Offline,Russia
116,747,2023-01-04,HDMI Cable,Accessory,3,14.0,Card,Offline,Japan
117,875,2023-01-04,Dell XPS 13,Laptop,1,1199.0,Cash,Online,Japan
118,2948,2023-01-04,Samsung Galaxy S21,Phone,1,749.0,Online,Offline,Russia
119,2948,2023-01-04,Sony WH-1000XM4,Accessory,1,349.0,Online,Offline,Russia
120,916,2023-01-04,MacBook Air 13,Laptop,1,1099.0,Cash,Offline,USA
121,3234,2023-01-05,Apple 35W Dual USB-C Adapter,Accessory,1,59.0,Card,Offline,USA
122,25,2023-01-05,Samsung Galaxy S21,Phone,1,749.0,Online,Offline,China
123,1272,2023-01-05,Sony WH-1000XM4,Accessory,2,349.0,Cash,Offline,Spain
124,2689,2023-01-05,Screen Protector,Accessory,1,35.0,Cash,Offline,China
125,2689,2023-01-05,Google Pixel 7,Phone,1,699.0,Cash,Offline,China
126,3889,2023-01-05,Samsung Galaxy Tab S8,Tablet,1,799.0,Cash,Offline,Russia
127,2916,2023-01-05,Apple Pencil,Accessory,1,119.0,Online,Online,Spain
128,1706,2023-01-05,Mechanical Keyboard,Accessory,1,149.0,Card,Offline,China
129,2861,2023-01-05,Google Pixel 7,Phone,1,699.0,Card,Online,Russia
130,665,2023-01-05,iPad Pro 12.9,Tablet,1,1099.0,Online,Online,Spain
131,665,2023-01-05,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Online,Online,Spain
132,665,2023-01-05,Screen Protector,Accessory,1,35.0,Online,Online,Spain
133,2861,2023-01-05,USB-C Charger,Accessory,1,29.0,Card,Online,Russia
134,4365,2023-01-05,HP Spectre x360,Laptop,1,1299.0,Cash,Offline,USA
135,4747,2023-01-05,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Card,Offline,China
136,4036,2023-01-05,Sony WH-1000XM4,Accessory,3,349.0,Cash,Offline,China
137,2861,2023-01-05,Screen Protector,Accessory,1,35.0,Card,Online,Russia
138,25,2023-01-05,Sony WH-1000XM4,Accessory,1,349.0,Online,Offline,China
139,737,2023-01-05,Dell XPS 13,Laptop,1,1199.0,Online,Offline,Japan
140,4747,2023-01-05,iPad 9th Gen,Tablet,1,499.0,Card,Offline,China
141,604,2023-01-05,iPhone 13,Phone,1,799.0,Card,Online,USA
142,1290,2023-01-05,Sony WH-1000XM4,Accessory,1,349.0,Cash,Online,Japan
143,2082,2023-01-05,MacBook Pro 16,Laptop,1,1999.0,Card,Offline,China
144,25,2023-01-05,Screen Protector,Accessory,1,35.0,Online,Offline,China
145,604,2023-01-05,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Card,Online,USA
146,604,2023-01-05,Screen Protector,Accessory,1,35.0,Card,Online,USA
147,2313,2023-01-05,Samsung Galaxy S23,Phone,1,949.0,Online,Online,Russia
148,2313,2023-01-05,Samsung Travel Adapter,Accessory,1,29.0,Online,Online,Russia
149,2313,2023-01-05,Screen Protector,Accessory,1,35.0,Online,Online,Russia
150,3944,2023-01-05,Dell XPS 13,Laptop,2,1199.0,Cash,Online,South Korea
151,2082,2023-01-05,Apple Mouse,Accessory,1,89.0,Card,Offline,China
152,2689,2023-01-05,USB-C Charger,Accessory,1,29.0,Cash,Offline,China
153,361,2023-01-06,Apple Mouse,Accessory,1,89.0,Cash,Online,Germany
154,1280,2023-01-06,Dell XPS 15,Laptop,1,1499.0,Online,Online,Germany
155,3618,2023-01-06,MacBook Air 13,Laptop,1,1099.0,Card,Online,USA
156,2045,2023-01-06,MacBook Pro 16,Laptop,2,1999.0,Card,Offline,China
157,4768,2023-01-06,Apple AirPods Pro,Accessory,1,249.0,Cash,Offline,South Korea
158,69,2023-01-06,iPad 9th Gen,Tablet,1,499.0,Cash,Offline,France
159,4199,2023-01-06,Apple 35W Dual USB-C Adapter,Accessory,1,59.0,Online,Online,China
160,361,2023-01-06,MacBook Air 13,Laptop,1,1099.0,Cash,Online,Germany
161,698,2023-01-06,Logitech MX Master Mouse,Accessory,1,99.0,Card,Online,USA
162,69,2023-01-06,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Cash,Offline,France
163,4758,2023-01-06,Screen Protector,Accessory,1,35.0,Card,Offline,Spain
164,4294,2023-01-06,USB-C Charger,Accessory,2,29.0,Card,Offline,Russia
165,118,2023-01-06,Samsung Galaxy Tab S8,Tablet,1,799.0,Card,Online,China
166,392,2023-01-06,Google Pixel 7,Phone,2,699.0,Card,Offline,China
167,1253,2023-01-06,Samsung Galaxy S23,Phone,1,949.0,Cash,Online,China
168,3566,2023-01-06,Dell XPS 13,Laptop,1,1199.0,Cash,Offline,China
169,2341,2023-01-06,Xiaomi Mi 11,Phone,1,499.0,Cash,Offline,Japan
170,3654,2023-01-06,MacBook Air 13,Laptop,1,1099.0,Online,Online,China
171,2530,2023-01-06,Screen Protector,Accessory,1,35.0,Cash,Online,Japan
172,4758,2023-01-06,Apple AirPods Pro,Accessory,1,249.0,Card,Offline,Spain
173,4758,2023-01-06,Apple Pencil,Accessory,1,119.0,Card,Offline,Spain
174,1721,2023-01-06,Dell XPS 13,Laptop,1,1199.0,Cash,Online,Russia
175,4758,2023-01-06,iPad 9th Gen,Tablet,1,499.0,Card,Offline,Spain
176,2980,2023-01-07,USB-C Charger,Accessory,1,29.0,Cash,Online,Russia
177,2980,2023-01-07,Xiaomi Mi 11,Phone,1,499.0,Cash,Online,Russia
178,325,2023-01-07,USB-C Charger,Accessory,1,29.0,Online,Online,Spain
179,204,2023-01-07,MacBook Air 13,Laptop,1,1099.0,Card,Offline,China
180,1246,2023-01-07,USB-C Charger,Accessory,1,29.0,Online,Online,Russia
181,1283,2023-01-07,iPhone 15,Phone,1,1199.0,Card,Offline,France
182,1283,2023-01-07,Apple AirPods Pro,Accessory,1,249.0,Card,Offline,France
183,2900,2023-01-07,Xiaomi Mi 11,Phone,1,499.0,Cash,Offline,China
184,4700,2023-01-07,Apple Mouse,Accessory,3,89.0,Card,Online,Spain
185,3016,2023-01-07,Apple Pencil,Accessory,3,119.0,Online,Offline,China
186,2585,2023-01-07,Apple AirPods Pro,Accessory,3,249.0,Cash,Online,Japan
187,4175,2023-01-07,HP Spectre x360,Laptop,1,1299.0,Card,Online,Spain
188,954,2023-01-07,Dell XPS 15,Laptop,1,1499.0,Card,Offline,France
189,3702,2023-01-07,Lenovo ThinkPad X1,Laptop,1,1399.0,Cash,Online,USA
190,3911,2023-01-07,HDMI Cable,Accessory,1,14.0,Card,Offline,USA
191,1022,2023-01-07,Xiaomi Mi 11,Phone,1,499.0,Card,Online,Russia
192,3,2023-01-07,Screen Protector,Accessory,1,35.0,Cash,Online,Russia
193,204,2023-01-07,Apple Mouse,Accessory,1,89.0,Card,Offline,China
194,3,2023-01-07,Xiaomi Mi 11,Phone,1,499.0,Cash,Online,Russia
195,3372,2023-01-07,Apple Pencil,Accessory,2,119.0,Online,Offline,Russia
196,1477,2023-01-07,Screen Protector,Accessory,1,35.0,Card,Offline,Germany
197,1477,2023-01-07,Google Pixel 7,Phone,1,699.0,Card,Offline,Germany
198,3784,2023-01-07,Samsung Galaxy Tab S8,Tablet,1,799.0,Cash,Online,USA
199,1408,2023-01-08,Xiaomi Redmi Note 12,Phone,1,349.0,Cash,Offline,USA
200,3230,2023-01-08,Apple Mouse,Accessory,1,89.0,Cash,Online,Spain
201,2227,2023-01-08,Apple Pencil,Accessory,2,119.0,Cash,Offline,China
202,2267,2023-01-08,Screen Protector,Accessory,1,35.0,Online,Online,Germany
203,2739,2023-01-08,Screen Protector,Accessory,1,35.0,Cash,Offline,USA
204,2267,2023-01-08,iPad 9th Gen,Tablet,1,499.0,Online,Online,Germany
205,3585,2023-01-08,Sony WH-1000XM4,Accessory,2,349.0,Online,Online,Japan
206,4720,2023-01-08,iPhone 13,Phone,1,799.0,Online,Offline,China
207,4277,2023-01-08,Asus ZenBook,Laptop,1,999.0,Online,Offline,China
208,2417,2023-01-08,Asus ZenBook,Laptop,1,999.0,Cash,Online,Russia
209,2850,2023-01-08,Apple 35W Dual USB-C Adapter,Accessory,1,59.0,Cash,Online,China
210,4720,2023-01-08,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Online,Offline,China
211,2963,2023-01-08,Samsung Travel Adapter,Accessory,1,29.0,Cash,Online,USA
212,3880,2023-01-08,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Online,Offline,UAE
213,4720,2023-01-08,Apple AirPods Pro,Accessory,1,249.0,Online,Offline,China
214,616,2023-01-08,Dell XPS 15,Laptop,1,1499.0,Cash,Online,China
215,2739,2023-01-08,Xiaomi Mi 11,Phone,1,499.0,Cash,Offline,USA
216,3950,2023-01-08,Dell XPS 13,Laptop,1,1199.0,Online,Offline,China
217,3880,2023-01-08,iPhone 14,Phone,1,999.0,Online,Offline,UAE
218,3461,2023-01-08,Apple Pencil,Accessory,1,119.0,Card,Offline,France
219,1750,2023-01-08,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Cash,Offline,Russia
220,3461,2023-01-08,Screen Protector,Accessory,1,35.0,Card,Offline,France
221,1760,2023-01-08,Sony WH-1000XM4,Accessory,1,349.0,Cash,Offline,China
222,1750,2023-01-08,Screen Protector,Accessory,1,35.0,Cash,Offline,Russia
223,3461,2023-01-08,iPad Pro 12.9,Tablet,1,1099.0,Card,Offline,France
224,3145,2023-01-08,Dell XPS 13,Laptop,1,1199.0,Online,Offline,France
225,4372,2023-01-08,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Online,Online,Germany
226,2047,2023-01-08,Samsung Galaxy Tab S8,Tablet,1,799.0,Online,Offline,Japan
227,22,2023-01-08,Screen Protector,Accessory,1,35.0,Online,Online,China
228,22,2023-01-08,Xiaomi Mi 11,Phone,1,499.0,Online,Online,China
229,1750,2023-01-08,Apple AirPods Pro,Accessory,1,249.0,Cash,Offline,Russia
230,1750,2023-01-08,iPhone 14,Phone,1,999.0,Cash,Offline,Russia
231,1461,2023-01-09,HP Spectre x360,Laptop,2,1299.0,Online,Online,Russia
232,1714,2023-01-09,Samsung Galaxy S23,Phone,1,949.0,Cash,Offline,Russia
233,763,2023-01-09,iPhone 15,Phone,1,1199.0,Card,Online,Japan
234,763,2023-01-09,Apple 35W Dual USB-C Adapter,Accessory,1,59.0,Card,Online,Japan
235,763,2023-01-09,Apple AirPods Pro,Accessory,1,249.0,Card,Online,Japan
236,1283,2023-01-09,Screen Protector,Accessory,1,35.0,Cash,Offline,Spain
237,1990,2023-01-09,Xiaomi Mi 11,Phone,1,499.0,Online,Offline,China
238,4148,2023-01-09,Apple AirPods Pro,Accessory,1,249.0,Cash,Online,USA
239,3852,2023-01-09,Lenovo ThinkPad X1,Laptop,1,1399.0,Online,Online,China
240,4148,2023-01-09,iPhone 14,Phone,1,999.0,Cash,Online,USA
241,3504,2023-01-09,USB-C Charger,Accessory,1,29.0,Cash,Offline,France
242,515,2023-01-09,Samsung Galaxy S21,Phone,1,749.0,Cash,Online,China
243,515,2023-01-09,Samsung Travel Adapter,Accessory,1,29.0,Cash,Online,China
244,515,2023-01-09,Screen Protector,Accessory,1,35.0,Cash,Online,China
245,515,2023-01-09,Sony WH-1000XM4,Accessory,1,349.0,Cash,Online,China
246,1412,2023-01-09,Samsung Travel Adapter,Accessory,1,29.0,Cash,Online,France
247,3688,2023-01-09,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Cash,Offline,Japan
248,1479,2023-01-09,Sony WH-1000XM4,Accessory,1,349.0,Card,Online,UK
249,4063,2023-01-09,Apple Mouse,Accessory,1,89.0,Cash,Online,Germany
250,4148,2023-01-09,Screen Protector,Accessory,1,35.0,Cash,Online,USA
251,1782,2023-01-09,Xiaomi Mi 11,Phone,1,499.0,Card,Offline,USA
252,4180,2023-01-09,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Cash,Offline,USA
253,4530,2023-01-09,Screen Protector,Accessory,1,35.0,Cash,Online,USA
254,4218,2023-01-09,Samsung Galaxy Tab S8,Tablet,2,799.0,Online,Offline,Germany
255,260,2023-01-09,iPhone 15,Phone,1,1199.0,Cash,Online,Germany
256,1986,2023-01-09,Asus ZenBook,Laptop,1,999.0,Card,Offline,Spain
257,260,2023-01-09,Apple 35W Dual USB-C Adapter,Accessory,1,59.0,Cash,Online,Germany
258,260,2023-01-09,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Cash,Online,Germany
259,882,2023-01-09,Sony WH-1000XM4,Accessory,1,349.0,Online,Offline,China
260,882,2023-01-09,Screen Protector,Accessory,1,35.0,Online,Offline,China
261,882,2023-01-09,Samsung Galaxy S23,Phone,1,949.0,Online,Offline,China
262,750,2023-01-09,Apple Mouse,Accessory,1,89.0,Cash,Online,China
263,260,2023-01-09,Screen Protector,Accessory,1,35.0,Cash,Online,Germany
264,2060,2023-01-09,HDMI Cable,Accessory,1,14.0,Card,Offline,USA
265,2130,2023-01-09,Lenovo ThinkPad X1,Laptop,1,1399.0,Cash,Online,Russia
266,4148,2023-01-09,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Cash,Online,USA
267,1702,2023-01-09,Apple Pencil,Accessory,1,119.0,Card,Offline,USA
268,4530,2023-01-09,Samsung Galaxy S21,Phone,1,749.0,Cash,Online,USA
269,1702,2023-01-09,Screen Protector,Accessory,1,35.0,Card,Offline,USA
270,1702,2023-01-09,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Card,Offline,USA
271,1702,2023-01-09,iPad 9th Gen,Tablet,1,499.0,Card,Offline,USA
272,1179,2023-01-10,Apple 35W Dual USB-C Adapter,Accessory,1,59.0,Cash,Online,China
273,469,2023-01-10,Lenovo ThinkPad X1,Laptop,1,1399.0,Card,Offline,China
274,1252,2023-01-10,Sony WH-1000XM4,Accessory,1,349.0,Cash,Online,USA
275,4475,2023-01-10,Screen Protector,Accessory,1,35.0,Online,Offline,UAE
276,2534,2023-01-10,Dell XPS 15,Laptop,1,1499.0,Online,Offline,China
277,4475,2023-01-10,Samsung Galaxy S21,Phone,1,749.0,Online,Offline,UAE
278,871,2023-01-10,Samsung Galaxy Tab S8,Tablet,1,799.0,Card,Offline,USA
279,1566,2023-01-10,Samsung Travel Adapter,Accessory,3,29.0,Card,Offline,USA
280,1924,2023-01-10,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Online,Offline,USA
281,3237,2023-01-10,Samsung Galaxy S23,Phone,1,949.0,Cash,Offline,China
282,1209,2023-01-10,Screen Protector,Accessory,3,35.0,Cash,Offline,Japan
283,1252,2023-01-10,Samsung Galaxy S21,Phone,1,749.0,Cash,Online,USA
284,1252,2023-01-10,Samsung Travel Adapter,Accessory,1,29.0,Cash,Online,USA
285,1291,2023-01-10,iPhone 13,Phone,1,799.0,Online,Online,Japan
286,2732,2023-01-10,Apple 35W Dual USB-C Adapter,Accessory,2,59.0,Card,Offline,Japan
287,2271,2023-01-10,Asus ZenBook,Laptop,1,999.0,Card,Offline,China
288,359,2023-01-10,Screen Protector,Accessory,1,35.0,Cash,Offline,China
289,359,2023-01-10,Xiaomi Mi 11,Phone,1,499.0,Cash,Offline,China
290,3379,2023-01-10,Apple Pencil,Accessory,1,119.0,Card,Offline,China
291,1252,2023-01-10,Screen Protector,Accessory,1,35.0,Cash,Online,USA
292,3237,2023-01-10,Screen Protector,Accessory,1,35.0,Cash,Offline,China
293,3808,2023-01-10,Dell XPS 13,Laptop,1,1199.0,Online,Online,Germany
294,4406,2023-01-10,Xiaomi Mi 11,Phone,1,499.0,Online,Online,China
295,1031,2023-01-10,Dell XPS 13,Laptop,2,1199.0,Card,Online,Russia
296,1766,2023-01-10,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Cash,Online,USA
297,1715,2023-01-10,Logitech MX Master Mouse,Accessory,2,99.0,Cash,Offline,USA
298,4651,2023-01-10,HDMI Cable,Accessory,3,14.0,Cash,Online,Japan
299,3666,2023-01-10,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Card,Online,USA
300,4575,2023-01-10,Xiaomi Redmi Note 12,Phone,1,349.0,Cash,Online,Germany
301,2282,2023-01-10,Apple 35W Dual USB-C Adapter,Accessory,1,59.0,Online,Online,China
302,2282,2023-01-10,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Online,Online,China
303,2282,2023-01-10,iPhone 14,Phone,1,999.0,Online,Online,China
304,1352,2023-01-10,Samsung Galaxy S21,Phone,1,749.0,Cash,Online,Russia
305,4033,2023-01-10,Apple 20W USB-C Power Adapter,Accessory,2,19.0,Online,Online,Russia
306,1476,2023-01-10,Samsung Travel Adapter,Accessory,1,29.0,Cash,Online,China
307,3114,2023-01-10,Sony WH-1000XM4,Accessory,1,349.0,Cash,Offline,China
308,3114,2023-01-10,Screen Protector,Accessory,1,35.0,Cash,Offline,China
309,3114,2023-01-10,Samsung Galaxy S23,Phone,1,949.0,Cash,Offline,China
310,4293,2023-01-10,Apple 35W Dual USB-C Adapter,Accessory,1,59.0,Card,Offline,China
311,1766,2023-01-10,iPhone 14,Phone,1,999.0,Cash,Online,USA
312,2353,2023-01-10,Screen Protector,Accessory,1,35.0,Cash,Offline,Russia
313,2353,2023-01-10,Xiaomi Mi 11,Phone,1,499.0,Cash,Offline,Russia
314,1929,2023-01-11,Screen Protector,Accessory,1,35.0,Cash,Offline,Russia
315,3283,2023-01-11,iPhone 15,Phone,1,1199.0,Card,Offline,Germany
316,3283,2023-01-11,Apple AirPods Pro,Accessory,1,249.0,Card,Offline,Germany
317,4423,2023-01-11,Sony WH-1000XM4,Accessory,1,349.0,Cash,Online,China
318,438,2023-01-11,Screen Protector,Accessory,1,35.0,Cash,Online,USA
319,2510,2023-01-11,HP Spectre x360,Laptop,1,1299.0,Online,Offline,Germany
320,438,2023-01-11,Apple 20W USB-C Power Adapter,Accessory,1,19.0,Cash,Online,USA
